invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
554541,22633,Hand Warmer Red Polka Dot,9,09-06-2023 12:31,4.54,17470,Germany
543152,21730,Glass Star Frosted T-Light Holder,38,29-05-2023 08:17,5.25,17511,United Kingdom
541585,22112,Chocolate Hot Water Bottle,29,11-10-2023 23:28,5.14,13858,United Kingdom
543943,22086,Paper Chain Kit 50’s Christmas,38,01-04-2023 19:35,5.24,15694,United Kingdom
559457,20727,Lunch Bag Black Skull,18,26-04-2023 02:14,1.34,14297,Spain
541021,84832,Zinc Metal Heart Decoration,22,07-08-2023 02:27,4.26,16336,France
551653,20725,Lunch Bag Red Retrospot,35,20-05-2023 06:41,2.17,14864,Spain
C550805,84832,Zinc Metal Heart Decoration,-6,20-01-2023 07:02,2.01,15544,United Kingdom
553417,84029G,Union Flag Hot Water Bottle,7,30-12-2023 22:02,4.64,13699,United Kingdom
547989,84029G,Union Flag Hot Water Bottle,13,05-12-2023 12:04,2.99,15334,France
549692,84406B,Cream Cupid Hearts Coat Hanger,36,03-11-2023 05:11,5.14,14062,France
552990,22745,Poppy’s Playhouse Bedroom,16,26-03-2023 12:03,1.38,12664,United Kingdom
546873,84879,Assorted Colour Bird Ornament,21,11-04-2023 11:09,4.65,12495,Netherlands
545675,22112,Chocolate Hot Water Bottle,28,21-07-2023 08:13,1.79,13464,Germany
540161,21977,Pack of 60 Pink Paper Doilies,10,29-11-2023 00:33,1.96,16645,United Kingdom
544297,84406B,Cream Cupid Hearts Coat Hanger,19,25-01-2023 07:23,3.25,14084,United Kingdom
540995,21977,Pack of 60 Pink Paper Doilies,17,31-01-2023 23:38,2.9,15705,Germany
551534,20725,Lunch Bag Red Retrospot,1,26-07-2023 17:22,3.29,17903,Netherlands
547629,84406B,Cream Cupid Hearts Coat Hanger,13,17-06-2023 23:03,5.24,17294,United Kingdom
541016,22960,Jam Making Set With Jars,36,09-12-2023 09:14,4.03,12435,United Kingdom
548529,20725,Lunch Bag Red Retrospot,20,08-03-2023 04:11,2.45,14340,United Kingdom
557262,22961,Jam Making Set Printed,6,10-07-2023 14:51,1.94,16396,France
549268,84029G,Union Flag Hot Water Bottle,23,11-01-2023 11:50,3.01,13697,France
552185,22469,Heart of Wicker Small,24,14-06-2023 19:07,3.14,17458,Germany
546331,22961,Jam Making Set Printed,5,20-05-2023 12:16,3.79,16011,United Kingdom
548571,21730,Glass Star Frosted T-Light Holder,32,19-09-2023 17:05,2.34,13046,United Kingdom
547208,21977,Pack of 60 Pink Paper Doilies,17,22-11-2023 18:11,4.5,14397,United Kingdom
545276,84832,Zinc Metal Heart Decoration,11,01-08-2023 13:11,1.62,13089,Italy
558446,20727,Lunch Bag Black Skull,27,11-12-2023 12:15,3.61,13418,Netherlands
556448,22745,Poppy’s Playhouse Bedroom,4,16-02-2023 11:51,3.88,15021,Germany
556216,22748,Poppy’s Playhouse Kitchen,23,05-02-2023 20:02,2.09,15048,Netherlands
548006,22745,Poppy’s Playhouse Bedroom,23,23-03-2023 10:50,4.75,12569,Germany
542568,22112,Chocolate Hot Water Bottle,34,13-02-2023 03:17,3.85,12028,Germany
542027,22960,Jam Making Set With Jars,21,19-08-2023 13:05,3.98,15154,United Kingdom
542695,84832,Zinc Metal Heart Decoration,22,28-03-2023 05:36,3.34,15506,France
555422,20725,Lunch Bag Red Retrospot,1,04-02-2023 12:40,5.11,12640,Netherlands
545258,20727,Lunch Bag Black Skull,32,15-12-2023 17:10,4.18,15204,Germany
C546736,22961,Jam Making Set Printed,-8,13-11-2023 03:14,2.84,16210,France
540391,22748,Poppy’s Playhouse Kitchen,18,28-07-2023 04:02,2.23,17197,United Kingdom
553986,84879,Assorted Colour Bird Ornament,7,15-06-2023 05:18,1.51,16775,France
552666,22632,Hand Warmer Union Jack,38,29-06-2023 09:47,1.91,16176,United Kingdom
545892,84029G,Union Flag Hot Water Bottle,6,02-01-2023 03:29,5.47,13985,United Kingdom
543561,85123A,White Hanging Heart T-Light Holder,14,14-07-2023 09:10,2.95,14654,United Kingdom
546184,84029G,Union Flag Hot Water Bottle,30,19-12-2023 04:30,5.06,16816,United Kingdom
559483,84406B,Cream Cupid Hearts Coat Hanger,14,23-01-2023 04:40,1.93,16031,Portugal
548392,84029G,Union Flag Hot Water Bottle,9,26-01-2023 23:11,3.03,16167,Germany
553067,85123A,White Hanging Heart T-Light Holder,31,30-01-2023 05:53,5.33,14029,United Kingdom
C555265,20725,Lunch Bag Red Retrospot,-5,02-10-2023 11:06,1.59,12473,Germany
559488,20727,Lunch Bag Black Skull,18,16-06-2023 10:27,3.75,17116,United Kingdom
542454,71053,White Metal Lantern,5,31-03-2023 19:15,5.15,12170,France
551837,21977,Pack of 60 Pink Paper Doilies,26,12-08-2023 02:17,5.28,14087,Germany
554039,22748,Poppy’s Playhouse Kitchen,23,16-04-2023 00:55,4.84,15244,Germany
559115,20727,Lunch Bag Black Skull,12,28-01-2023 23:06,4.88,14471,United Kingdom
550965,71053,White Metal Lantern,14,07-05-2023 01:21,4,17975,Spain
549762,85123A,White Hanging Heart T-Light Holder,13,02-03-2023 22:32,2.15,13245,Italy
545056,22961,Jam Making Set Printed,35,25-06-2023 04:09,4.34,12797,United Kingdom
554948,22748,Poppy’s Playhouse Kitchen,15,05-04-2023 00:28,5.41,15746,United Kingdom
548110,22961,Jam Making Set Printed,35,06-04-2023 02:21,3.46,14497,Italy
C553773,84832,Zinc Metal Heart Decoration,-3,21-05-2023 07:45,2.32,17547,Portugal
557412,21730,Glass Star Frosted T-Light Holder,15,27-03-2023 16:04,3.67,17567,United Kingdom
C540502,20725,Lunch Bag Red Retrospot,-6,03-05-2023 16:02,4.17,16740,United Kingdom
546910,22112,Chocolate Hot Water Bottle,23,19-12-2023 01:35,2.1,12321,Italy
552685,21977,Pack of 60 Pink Paper Doilies,13,04-08-2023 14:35,4.29,15934,United Kingdom
540206,84029G,Union Flag Hot Water Bottle,23,18-04-2023 15:39,3.73,15895,United Kingdom
557868,22748,Poppy’s Playhouse Kitchen,31,28-06-2023 16:56,3.83,13068,United Kingdom
555934,22960,Jam Making Set With Jars,30,11-03-2023 02:30,2.52,12323,United Kingdom
557247,22112,Chocolate Hot Water Bottle,2,07-05-2023 12:47,1.87,15332,United Kingdom
559174,71053,White Metal Lantern,11,25-07-2023 03:39,3.88,17338,United Kingdom
548755,22961,Jam Making Set Printed,25,20-09-2023 08:28,3.72,14667,United Kingdom
552383,20725,Lunch Bag Red Retrospot,29,08-03-2023 02:26,2.65,14094,United Kingdom
558141,21977,Pack of 60 Pink Paper Doilies,22,18-05-2023 10:42,2.47,12644,United Kingdom
554820,22112,Chocolate Hot Water Bottle,19,13-08-2023 23:23,2.69,15844,United Kingdom
547574,84879,Assorted Colour Bird Ornament,9,02-03-2023 10:34,3.31,13711,United Kingdom
546374,22748,Poppy’s Playhouse Kitchen,38,12-04-2023 02:28,5.39,14680,Italy
C541678,85123A,White Hanging Heart T-Light Holder,-8,20-10-2023 21:57,4.48,12840,France
559626,84879,Assorted Colour Bird Ornament,10,15-01-2023 16:27,4.86,12302,Italy
541059,22745,Poppy’s Playhouse Bedroom,22,19-02-2023 20:21,3.37,15261,United Kingdom
556198,20727,Lunch Bag Black Skull,24,17-09-2023 04:49,3.46,16867,Netherlands
549914,22112,Chocolate Hot Water Bottle,8,11-04-2023 21:51,2.08,15760,Spain
559541,21730,Glass Star Frosted T-Light Holder,6,10-01-2023 14:43,4.3,17079,Portugal
550817,71053,White Metal Lantern,7,01-09-2023 14:44,3.01,14624,United Kingdom
550921,22633,Hand Warmer Red Polka Dot,20,03-05-2023 02:36,4.39,16959,France
C549789,22469,Heart of Wicker Small,-5,30-05-2023 00:09,2.96,12335,United Kingdom
556312,21730,Glass Star Frosted T-Light Holder,36,08-06-2023 09:12,1.67,13878,Italy
551252,71053,White Metal Lantern,8,10-09-2023 04:21,1.94,15291,United Kingdom
542693,22633,Hand Warmer Red Polka Dot,13,28-11-2023 14:54,4.69,13852,Netherlands
553931,22745,Poppy’s Playhouse Bedroom,24,20-07-2023 03:19,2.31,16755,United Kingdom
543627,84879,Assorted Colour Bird Ornament,31,11-10-2023 04:48,2.34,14000,United Kingdom
556157,84406B,Cream Cupid Hearts Coat Hanger,23,08-04-2023 06:24,5.2,16707,United Kingdom
550173,22112,Chocolate Hot Water Bottle,17,10-08-2023 17:00,4.03,17238,United Kingdom
558047,22112,Chocolate Hot Water Bottle,24,27-07-2023 12:37,1.69,16999,United Kingdom
550230,22632,Hand Warmer Union Jack,10,02-10-2023 15:19,1.82,14129,United Kingdom
555707,84406B,Cream Cupid Hearts Coat Hanger,31,30-11-2023 12:42,2.37,17132,United Kingdom
C551494,21977,Pack of 60 Pink Paper Doilies,-5,16-02-2023 14:28,3.75,12968,Spain
541306,84406B,Cream Cupid Hearts Coat Hanger,16,25-04-2023 12:12,4.44,13956,United Kingdom
546776,84832,Zinc Metal Heart Decoration,14,03-07-2023 19:35,2.38,14525,United Kingdom
549474,22112,Chocolate Hot Water Bottle,3,11-01-2023 14:39,4.94,14346,United Kingdom
547526,22086,Paper Chain Kit 50’s Christmas,30,18-03-2023 23:14,1.67,12749,Netherlands
545530,71053,White Metal Lantern,18,26-11-2023 05:10,2.09,14743,United Kingdom
C543748,22748,Poppy’s Playhouse Kitchen,-3,09-08-2023 04:17,5.37,13299,United Kingdom
553545,22469,Heart of Wicker Small,20,13-12-2023 19:28,1.78,12303,United Kingdom
540663,22469,Heart of Wicker Small,35,23-02-2023 21:26,5.02,14915,United Kingdom
541998,85123A,White Hanging Heart T-Light Holder,19,28-02-2023 02:04,4.23,17956,Germany
547994,22745,Poppy’s Playhouse Bedroom,26,12-07-2023 12:59,1.51,16065,Belgium
557879,22086,Paper Chain Kit 50’s Christmas,35,01-02-2023 11:21,3.28,15344,United Kingdom
543304,71053,White Metal Lantern,12,26-05-2023 23:46,3.43,12035,United Kingdom
558237,22745,Poppy’s Playhouse Bedroom,8,12-05-2023 17:42,5.21,16517,France
C553808,85123A,White Hanging Heart T-Light Holder,-3,27-07-2023 16:38,3.01,15549,Netherlands
546585,84406B,Cream Cupid Hearts Coat Hanger,10,04-12-2023 18:46,3.12,17621,United Kingdom
557675,84029G,Union Flag Hot Water Bottle,21,01-08-2023 13:26,1.68,14385,United Kingdom
559965,20727,Lunch Bag Black Skull,29,28-06-2023 08:50,3.95,16723,United Kingdom
551649,84406B,Cream Cupid Hearts Coat Hanger,31,06-11-2023 04:34,2.11,13433,France
541636,22633,Hand Warmer Red Polka Dot,7,06-05-2023 00:27,1.53,16558,United Kingdom
557082,20727,Lunch Bag Black Skull,34,18-05-2023 16:50,5.49,12080,Spain
544737,22112,Chocolate Hot Water Bottle,34,02-09-2023 21:48,2.36,13502,United Kingdom
554555,84029G,Union Flag Hot Water Bottle,30,12-07-2023 16:28,1.81,17505,United Kingdom
553877,22960,Jam Making Set With Jars,4,19-12-2023 08:10,4.21,16515,Netherlands
540854,84879,Assorted Colour Bird Ornament,30,02-10-2023 09:40,4.73,15511,United Kingdom
545855,21730,Glass Star Frosted T-Light Holder,25,15-05-2023 22:32,1.48,14942,United Kingdom
547392,22469,Heart of Wicker Small,14,14-02-2023 14:00,1.65,12794,United Kingdom
553949,22748,Poppy’s Playhouse Kitchen,24,27-12-2023 04:34,1.59,13730,Germany
558091,22960,Jam Making Set With Jars,31,07-02-2023 01:22,1.4,12183,United Kingdom
545791,22748,Poppy’s Playhouse Kitchen,39,15-05-2023 20:08,4.04,16653,Portugal
544931,84832,Zinc Metal Heart Decoration,28,23-08-2023 08:06,3.73,13171,Netherlands
559894,21977,Pack of 60 Pink Paper Doilies,25,08-03-2023 02:54,4.05,14042,United Kingdom
540202,71053,White Metal Lantern,19,16-03-2023 03:33,3.37,13287,Netherlands
551447,84832,Zinc Metal Heart Decoration,4,21-09-2023 16:58,4.72,15676,France
552688,22745,Poppy’s Playhouse Bedroom,34,31-03-2023 11:53,3.55,16935,United Kingdom
544389,22469,Heart of Wicker Small,32,12-04-2023 16:14,5.15,15560,United Kingdom
542327,20727,Lunch Bag Black Skull,25,03-01-2023 03:27,3.29,13882,United Kingdom
548004,71053,White Metal Lantern,22,03-04-2023 19:18,4.6,12281,United Kingdom
559315,22469,Heart of Wicker Small,28,12-01-2023 07:14,2.95,16710,United Kingdom
547777,22469,Heart of Wicker Small,18,23-03-2023 09:37,3.07,14249,United Kingdom
540197,84879,Assorted Colour Bird Ornament,7,20-06-2023 09:17,4.85,16669,United Kingdom
541930,84029G,Union Flag Hot Water Bottle,11,16-12-2023 11:08,1.66,12416,United Kingdom
551774,71053,White Metal Lantern,11,22-08-2023 21:18,3.63,12316,Spain
555087,22748,Poppy’s Playhouse Kitchen,9,31-10-2023 08:59,4.32,15299,Italy
549339,22961,Jam Making Set Printed,35,14-02-2023 13:34,4.43,14963,Germany
551589,22960,Jam Making Set With Jars,37,25-01-2023 15:55,3.74,13091,United Kingdom
558895,22112,Chocolate Hot Water Bottle,23,04-01-2023 01:55,3.13,17078,United Kingdom
555708,22961,Jam Making Set Printed,33,18-08-2023 08:52,2.32,14844,United Kingdom
557043,21730,Glass Star Frosted T-Light Holder,1,28-12-2023 13:49,5.11,15885,United Kingdom
C542811,20725,Lunch Bag Red Retrospot,-8,14-07-2023 03:44,2.79,17599,France
554243,85123A,White Hanging Heart T-Light Holder,5,05-06-2023 15:29,4.64,12676,Netherlands
546546,20725,Lunch Bag Red Retrospot,29,20-04-2023 16:30,1.34,13124,France
541986,22745,Poppy’s Playhouse Bedroom,26,14-06-2023 15:57,2.2,14290,Netherlands
C548338,84406B,Cream Cupid Hearts Coat Hanger,-1,25-11-2023 07:11,2.69,13113,United Kingdom
551411,84879,Assorted Colour Bird Ornament,3,02-03-2023 14:34,4.09,13972,Germany
542911,22086,Paper Chain Kit 50’s Christmas,21,28-07-2023 00:26,2.57,14948,Italy
541734,20725,Lunch Bag Red Retrospot,13,05-05-2023 21:12,1.38,16222,United Kingdom
558227,20727,Lunch Bag Black Skull,31,03-11-2023 01:01,1.95,16714,Belgium
548680,20727,Lunch Bag Black Skull,17,14-10-2023 17:26,2.31,16929,United Kingdom
559360,22960,Jam Making Set With Jars,35,26-03-2023 23:43,1.96,13422,Italy
558343,22633,Hand Warmer Red Polka Dot,23,28-07-2023 09:05,2.08,15373,Germany
545759,22745,Poppy’s Playhouse Bedroom,3,22-08-2023 09:39,4.51,12755,United Kingdom
542385,20725,Lunch Bag Red Retrospot,2,12-02-2023 04:49,2.97,15768,United Kingdom
551111,71053,White Metal Lantern,3,11-10-2023 07:28,2.94,16871,France
544736,84029G,Union Flag Hot Water Bottle,20,08-09-2023 00:44,5.36,17732,United Kingdom
541802,20725,Lunch Bag Red Retrospot,9,16-06-2023 08:24,3.12,15836,United Kingdom
548155,84406B,Cream Cupid Hearts Coat Hanger,4,12-07-2023 00:50,5.19,15972,United Kingdom
548120,22960,Jam Making Set With Jars,25,08-03-2023 05:54,2.49,16168,United Kingdom
546616,22745,Poppy’s Playhouse Bedroom,1,26-07-2023 08:10,2.92,16474,United Kingdom
554257,22960,Jam Making Set With Jars,39,20-11-2023 04:56,2.9,14992,Portugal
554486,22960,Jam Making Set With Jars,12,05-02-2023 12:47,3.55,12491,Germany
556646,22112,Chocolate Hot Water Bottle,24,13-10-2023 08:45,3.71,12683,United Kingdom
554075,22748,Poppy’s Playhouse Kitchen,9,15-12-2023 19:21,2.27,13975,United Kingdom
549208,71053,White Metal Lantern,20,06-10-2023 01:08,4.61,12303,Germany
556371,84832,Zinc Metal Heart Decoration,5,24-06-2023 13:49,3.34,15997,United Kingdom
551835,71053,White Metal Lantern,20,11-01-2023 06:38,1.23,13952,United Kingdom
553168,20727,Lunch Bag Black Skull,21,19-01-2023 00:13,3.74,15569,United Kingdom
542049,22632,Hand Warmer Union Jack,2,09-07-2023 09:19,4.63,16004,United Kingdom
545423,22960,Jam Making Set With Jars,21,13-03-2023 13:00,2.28,13260,United Kingdom
554589,22112,Chocolate Hot Water Bottle,24,26-10-2023 20:35,1.36,13030,United Kingdom
559492,21977,Pack of 60 Pink Paper Doilies,9,16-03-2023 11:05,4.67,17826,Italy
547158,21977,Pack of 60 Pink Paper Doilies,39,17-05-2023 14:45,5.4,16351,United Kingdom
550248,22086,Paper Chain Kit 50’s Christmas,30,26-08-2023 14:37,1.53,13194,United Kingdom
547400,20727,Lunch Bag Black Skull,18,08-10-2023 01:21,5.23,15359,United Kingdom
559554,22112,Chocolate Hot Water Bottle,10,14-10-2023 08:52,2.74,12233,United Kingdom
549874,20725,Lunch Bag Red Retrospot,21,21-05-2023 01:51,5.25,14920,Germany
555151,84406B,Cream Cupid Hearts Coat Hanger,22,17-11-2023 15:23,3.99,13718,United Kingdom
558639,85123A,White Hanging Heart T-Light Holder,17,07-06-2023 06:29,5.03,12492,France
541154,21730,Glass Star Frosted T-Light Holder,5,20-07-2023 04:54,4.58,15282,Belgium
544499,84832,Zinc Metal Heart Decoration,6,29-01-2023 17:01,1.32,14014,France
546295,20727,Lunch Bag Black Skull,10,05-04-2023 02:04,1.48,16324,United Kingdom
552183,22748,Poppy’s Playhouse Kitchen,2,01-10-2023 20:47,3.46,12344,United Kingdom
552874,20727,Lunch Bag Black Skull,7,11-05-2023 06:33,1.76,17886,France
558032,22745,Poppy’s Playhouse Bedroom,4,04-09-2023 16:04,3.18,12264,France
545539,84406B,Cream Cupid Hearts Coat Hanger,37,04-02-2023 22:22,5.3,15575,United Kingdom
549637,22745,Poppy’s Playhouse Bedroom,19,12-05-2023 16:21,2.47,16839,Germany
555586,84406B,Cream Cupid Hearts Coat Hanger,28,24-10-2023 12:03,3.3,13672,United Kingdom
542557,20727,Lunch Bag Black Skull,20,01-12-2023 04:19,2.85,15647,Portugal
545592,20727,Lunch Bag Black Skull,30,24-04-2023 09:58,3.91,12428,Netherlands
556482,20727,Lunch Bag Black Skull,38,31-03-2023 00:02,2.03,15162,Spain
542200,85123A,White Hanging Heart T-Light Holder,2,11-08-2023 22:44,2.32,17352,United Kingdom
554172,21730,Glass Star Frosted T-Light Holder,3,13-10-2023 13:45,4.89,14910,United Kingdom
542961,84879,Assorted Colour Bird Ornament,39,28-03-2023 13:51,4.69,12453,United Kingdom
554207,22960,Jam Making Set With Jars,25,10-08-2023 18:50,4.59,12348,United Kingdom
551969,21977,Pack of 60 Pink Paper Doilies,2,24-09-2023 09:35,4.51,12421,Germany
542869,20727,Lunch Bag Black Skull,39,02-02-2023 16:55,3.18,14762,Netherlands
557340,20727,Lunch Bag Black Skull,15,21-10-2023 02:22,4.33,16781,Germany
553992,84879,Assorted Colour Bird Ornament,3,26-08-2023 14:08,2.86,12581,United Kingdom
C545699,22086,Paper Chain Kit 50’s Christmas,-4,05-01-2023 10:59,1.63,14662,United Kingdom
543987,22112,Chocolate Hot Water Bottle,36,06-07-2023 23:02,2.89,17352,United Kingdom
553446,22086,Paper Chain Kit 50’s Christmas,38,05-09-2023 18:22,1.88,16258,Germany
541218,22748,Poppy’s Playhouse Kitchen,37,09-04-2023 08:19,2.88,14351,Netherlands
544735,22960,Jam Making Set With Jars,27,20-02-2023 09:47,2.48,14366,United Kingdom
551296,84029G,Union Flag Hot Water Bottle,5,06-03-2023 11:38,3.78,13029,United Kingdom
544555,22469,Heart of Wicker Small,17,15-07-2023 19:05,2.75,13324,Germany
549146,22469,Heart of Wicker Small,38,27-02-2023 19:14,4.23,17977,United Kingdom
548050,22633,Hand Warmer Red Polka Dot,12,25-06-2023 21:04,3.4,12100,Belgium
C552757,20725,Lunch Bag Red Retrospot,-9,05-07-2023 12:07,5.15,12415,Germany
559830,21977,Pack of 60 Pink Paper Doilies,33,14-06-2023 18:05,1.59,17059,United Kingdom
557429,84406B,Cream Cupid Hearts Coat Hanger,29,15-05-2023 18:13,4.16,13383,Germany
546893,22633,Hand Warmer Red Polka Dot,38,01-03-2023 23:28,4.09,17250,Spain
558077,20725,Lunch Bag Red Retrospot,3,11-11-2023 19:10,5.29,14433,United Kingdom
554373,22633,Hand Warmer Red Polka Dot,38,16-10-2023 09:44,2.8,13043,United Kingdom
554565,85123A,White Hanging Heart T-Light Holder,30,28-06-2023 15:07,2.51,13746,Spain
543436,22633,Hand Warmer Red Polka Dot,22,03-05-2023 12:31,1.94,16491,Spain
C548754,22112,Chocolate Hot Water Bottle,-6,30-11-2023 17:42,2.34,17564,United Kingdom
550677,84879,Assorted Colour Bird Ornament,32,21-10-2023 08:29,3.36,16443,Netherlands
545895,22748,Poppy’s Playhouse Kitchen,10,01-09-2023 16:41,4.8,13288,United Kingdom
559738,20725,Lunch Bag Red Retrospot,32,07-11-2023 17:53,2.42,16860,France
556609,22745,Poppy’s Playhouse Bedroom,4,09-10-2023 00:40,1.88,16139,Germany
555636,84406B,Cream Cupid Hearts Coat Hanger,29,17-12-2023 08:52,2.37,16170,United Kingdom
547022,22469,Heart of Wicker Small,8,25-10-2023 08:06,1.63,16148,United Kingdom
549151,84029G,Union Flag Hot Water Bottle,20,26-12-2023 00:37,5.18,15954,Germany
545600,20727,Lunch Bag Black Skull,7,18-03-2023 18:10,4.95,12037,United Kingdom
547996,84832,Zinc Metal Heart Decoration,1,28-03-2023 16:29,2.53,12765,Spain
549007,84879,Assorted Colour Bird Ornament,25,21-03-2023 13:08,2.26,15877,United Kingdom
552946,22961,Jam Making Set Printed,26,26-03-2023 03:30,5.09,14464,United Kingdom
544642,85123A,White Hanging Heart T-Light Holder,9,01-10-2023 09:55,1.21,16806,United Kingdom
551312,22632,Hand Warmer Union Jack,23,22-09-2023 08:46,3.78,16843,United Kingdom
C547679,22632,Hand Warmer Union Jack,-6,21-04-2023 23:36,5.14,17588,Belgium
548208,22632,Hand Warmer Union Jack,26,26-12-2023 20:48,3.39,17174,United Kingdom
558589,84832,Zinc Metal Heart Decoration,14,30-09-2023 23:27,1.21,14891,United Kingdom
550716,22632,Hand Warmer Union Jack,31,16-12-2023 12:29,2.14,12115,Germany
557453,85123A,White Hanging Heart T-Light Holder,26,07-11-2023 06:02,5.17,12278,United Kingdom
543444,22469,Heart of Wicker Small,19,06-11-2023 08:13,1.27,12453,Netherlands
550757,71053,White Metal Lantern,38,15-04-2023 02:29,2.9,15213,United Kingdom
554434,22086,Paper Chain Kit 50’s Christmas,5,22-09-2023 21:52,4.6,16703,United Kingdom
541060,21730,Glass Star Frosted T-Light Holder,6,13-06-2023 16:47,4.8,17168,France
558711,22745,Poppy’s Playhouse Bedroom,35,16-05-2023 19:40,3.25,16464,France
543420,84406B,Cream Cupid Hearts Coat Hanger,16,09-07-2023 17:29,2.2,16465,Germany
540301,22632,Hand Warmer Union Jack,31,09-09-2023 13:18,3.78,12300,Italy
552468,22960,Jam Making Set With Jars,18,02-08-2023 16:22,2.33,12716,Italy
556990,20725,Lunch Bag Red Retrospot,14,02-05-2023 06:07,2.3,17066,United Kingdom
559554,84832,Zinc Metal Heart Decoration,25,01-11-2023 15:01,4.67,13375,United Kingdom
540699,84406B,Cream Cupid Hearts Coat Hanger,15,22-11-2023 19:32,1.86,12194,United Kingdom
